# TinZr Multi Recording
# DateTime: 2025-12-18T22:03:37.807495
# Device: TinZrBlack
# Address: D8:85:AC:4E:38:6E
time_s,ax,ay,az,gx,gy,gz,red,ir,hr_bpm,spo2_pct,batt_pct
3.457353,-0.013000,-0.925000,0.415000,1.150000,-4.760000,-0.840000,0.000000,0.000000,0.00,0.00,83.00
3.457353,-0.011000,-0.924000,0.414000,1.220000,-4.930000,-0.910000,0.000000,0.000000,0.00,0.00,83.00
3.457353,-0.010000,-0.925000,0.412000,1.570000,-5.040000,-0.910000,0.000000,0.000000,0.00,0.00,83.00
3.457353,-0.009000,-0.925000,0.412000,1.820000,-4.970000,-0.940000,0.000000,0.000000,0.00,0.00,83.00
3.457353,-0.008000,-0.926000,0.414000,2.030000,-4.970000,-0.800000,0.000000,0.000000,0.00,0.00,83.00
3.457353,-0.009000,-0.926000,0.414000,2.450000,-4.900000,-0.700000,0.000000,0.000000,0.00,0.00,83.00
3.457353,-0.010000,-0.925000,0.412000,2.870000,-4.760000,-0.520000,0.000000,0.000000,0.00,0.00,83.00
3.457353,-0.007000,-0.928000,0.415000,2.900000,-4.510000,-0.450000,0.000000,0.000000,0.00,0.00,83.00
3.457353,-0.008000,-0.926000,0.415000,3.290000,-4.580000,-0.420000,0.000000,0.000000,0.00,0.00,83.00
3.516725,-0.009000,-0.926000,0.414000,3.460000,-4.580000,-0.240000,0.000000,0.000000,0.00,0.00,83.00
3.516725,-0.010000,-0.925000,0.416000,3.360000,-4.370000,-0.140000,0.000000,0.000000,0.00,0.00,83.00
3.516725,-0.012000,-0.924000,0.417000,3.390000,-4.510000,-0.210000,0.000000,0.000000,0.00,0.00,83.00
3.516725,-0.010000,-0.921000,0.416000,3.430000,-4.690000,-0.280000,0.000000,0.000000,0.00,0.00,83.00
3.516725,-0.009000,-0.924000,0.417000,3.220000,-4.510000,-0.310000,0.000000,0.000000,0.00,0.00,83.00
3.516725,-0.010000,-0.918000,0.417000,2.970000,-4.580000,-0.420000,0.000000,0.000000,0.00,0.00,83.00
3.516725,-0.011000,-0.923000,0.421000,2.800000,-4.720000,-0.560000,0.000000,0.000000,0.00,0.00,83.00
3.516725,-0.010000,-0.920000,0.421000,2.620000,-4.930000,-0.660000,0.000000,0.000000,0.00,0.00,83.00
3.516725,-0.009000,-0.922000,0.418000,2.100000,-4.690000,-0.590000,0.000000,0.000000,0.00,0.00,83.00
3.518379,-0.010000,-0.922000,0.417000,1.780000,-4.760000,-0.630000,0.000000,0.000000,0.00,0.00,83.00
3.518379,-0.010000,-0.923000,0.418000,1.640000,-4.830000,-0.660000,0.000000,0.000000,0.00,0.00,83.00
3.518379,-0.011000,-0.921000,0.417000,1.400000,-4.830000,-0.840000,0.000000,0.000000,0.00,0.00,83.00
3.518379,-0.012000,-0.923000,0.415000,1.290000,-4.550000,-0.660000,0.000000,0.000000,0.00,0.00,83.00
3.518379,-0.013000,-0.927000,0.416000,1.330000,-4.650000,-0.590000,0.000000,0.000000,0.00,0.00,83.00
3.518379,-0.012000,-0.924000,0.415000,1.400000,-4.860000,-0.660000,0.000000,0.000000,0.00,0.00,83.00
3.518379,-0.010000,-0.926000,0.412000,1.540000,-4.720000,-0.660000,0.000000,0.000000,0.00,0.00,83.00
3.518379,-0.011000,-0.926000,0.414000,1.640000,-4.650000,-0.660000,0.000000,0.000000,0.00,0.00,83.00
3.518379,-0.010000,-0.926000,0.415000,1.920000,-5.000000,-0.800000,0.000000,0.000000,0.00,0.00,83.00
3.636892,-0.008000,-0.926000,0.411000,2.100000,-5.000000,-0.770000,0.000000,0.000000,0.00,0.00,83.00
3.636892,-0.009000,-0.927000,0.415000,2.270000,-4.830000,-0.630000,0.000000,0.000000,0.00,0.00,83.00
3.636892,-0.009000,-0.927000,0.414000,2.520000,-5.070000,-0.730000,0.000000,0.000000,0.00,0.00,83.00
3.636892,-0.009000,-0.927000,0.415000,2.550000,-5.040000,-0.700000,0.000000,0.000000,0.00,0.00,83.00
3.636892,-0.007000,-0.926000,0.416000,2.660000,-4.760000,-0.520000,0.000000,0.000000,0.00,0.00,83.00
3.636892,-0.010000,-0.925000,0.417000,2.760000,-4.860000,-0.380000,0.000000,0.000000,0.00,0.00,83.00
3.636892,-0.011000,-0.924000,0.417000,2.760000,-4.830000,-0.350000,0.000000,0.000000,0.00,0.00,83.00
3.636892,-0.012000,-0.923000,0.414000,2.870000,-4.720000,-0.240000,0.000000,0.000000,0.00,0.00,83.00
3.636892,-0.012000,-0.922000,0.416000,2.830000,-4.690000,-0.280000,0.000000,0.000000,0.00,0.00,83.00
3.696740,-0.013000,-0.924000,0.416000,2.940000,-4.790000,-0.420000,0.000000,0.000000,0.00,0.00,83.00
3.696740,-0.014000,-0.924000,0.416000,2.760000,-4.900000,-0.520000,0.000000,0.000000,0.00,0.00,83.00
3.696740,-0.010000,-0.923000,0.418000,2.550000,-4.690000,-0.560000,0.000000,0.000000,0.00,0.00,83.00
3.696740,-0.011000,-0.925000,0.416000,2.410000,-4.970000,-0.490000,0.000000,0.000000,0.00,0.00,83.00
3.696740,-0.012000,-0.921000,0.416000,2.130000,-5.000000,-0.560000,0.000000,0.000000,0.00,0.00,83.00
3.696740,-0.009000,-0.921000,0.417000,1.960000,-4.830000,-0.590000,0.000000,0.000000,0.00,0.00,83.00
3.696740,-0.009000,-0.923000,0.414000,1.710000,-4.900000,-0.660000,0.000000,0.000000,0.00,0.00,83.00
3.696740,-0.010000,-0.924000,0.419000,1.500000,-4.970000,-0.730000,0.000000,0.000000,0.00,0.00,83.00
3.696740,-0.009000,-0.924000,0.417000,1.540000,-5.070000,-0.590000,0.000000,0.000000,0.00,0.00,83.00
3.698663,-0.010000,-0.923000,0.415000,1.360000,-4.720000,-0.450000,0.000000,0.000000,0.00,0.00,83.00
3.698663,-0.009000,-0.922000,0.414000,1.400000,-4.620000,-0.420000,0.000000,0.000000,0.00,0.00,83.00
